#,id,house_type,house_floor,house_direction,house_area,house_structure,transaction_type,transaction_time,house_decoration,is_elevator,house_year,house_loc,house_position,u_price,t_price,detail_url,green_rate
38,17,5室3厅1厨4卫,高楼层(共20层),南,315.24,暂无数据,成交,1970-01-01,精装,有,2012,仁恒森兰雅苑(一期),,117625,3708,https://sh.lianjia.com/chengjiao/107105335538.html,0.35
39,18,4室3厅1厨4卫,低楼层(共9层),南,346.38,暂无数据,成交,1970-01-01,精装,有,2013,仁恒森兰雅苑(一期),,79537,2755,https://sh.lianjia.com/chengjiao/107103786550.html,0.35
40,19,5室2厅1厨5卫,高楼层(共20层),南,315.24,暂无数据,成交,1970-01-01,精装,有,2012,仁恒森兰雅苑(一期),,80891,2550,https://sh.lianjia.com/chengjiao/107103204114.html,0.35
41,20,4室2厅1厨2卫,中楼层(共14层),南,184.67,暂无数据,成交,1970-01-01,精装,有,2012,仁恒森兰雅苑(一期),,87725,1620,https://sh.lianjia.com/chengjiao/107103243981.html,0.35
42,21,2室2厅1厨1卫,低楼层(共20层),南,91.34,平层,成交,1970-01-01,精装,有,2013,仁恒森兰雅苑(一期),,91965,840,https://sh.lianjia.com/chengjiao/107103136677.html,0.35
43,22,4室2厅1厨4卫,高楼层(共18层),南,214.33,平层,成交,1970-01-01,其他,有,2012,仁恒森兰雅苑(一期),,83050,1780,https://sh.lianjia.com/chengjiao/107103131751.html,0.35
44,23,4室2厅1厨3卫,高楼层(共20层),南,214.33,平层,成交,1970-01-01,精装,有,2012,仁恒森兰雅苑(一期),,78758,1688,https://sh.lianjia.com/chengjiao/107102272722.html,0.35
45,24,5室3厅1厨2卫,低楼层(共2层),南,535.29,复式,成交,1970-01-01,精装,无,2012,仁恒森兰雅苑(一期),,47078,2520,https://sh.lianjia.com/chengjiao/107102932569.html,0.35
46,25,2室2厅1厨1卫,低楼层(共20层),南,91.41,平层,成交,1970-01-01,精装,有,2013,仁恒森兰雅苑(一期),,81939,749,https://sh.lianjia.com/chengjiao/107102936643.html,0.35
47,26,3室2厅1厨2卫,中楼层(共20层),南,151.59,暂无数据,成交,1970-01-01,精装,有,2013,仁恒森兰雅苑(一期),,75863,1150,https://sh.lianjia.com/chengjiao/107102278450.html,0.35
48,27,3室3厅1厨2卫,高楼层(共20层),南 北,151.72,平层,成交,1970-01-01,精装,有,2013,仁恒森兰雅苑(一期),,78434,1190,https://sh.lianjia.com/chengjiao/107101322008.html,0.35
49,28,3室2厅1厨2卫,低楼层(共20层),南,151.59,平层,成交,1970-01-01,精装,有,2013,仁恒森兰雅苑(一期),,69596,1055,https://sh.lianjia.com/chengjiao/107100267269.html,0.35
50,29,4室3厅1厨4卫,中楼层(共14层),南,334.88,复式,成交,1970-01-01,精装,有,2012,仁恒森兰雅苑(一期),,67039,2245,https://sh.lianjia.com/chengjiao/107100776950.html,0.35
51,30,5室2厅1厨6卫,低楼层(共14层),南,399.55,暂无数据,成交,1970-01-01,精装,有,2012,仁恒森兰雅苑(一期),,44300,1770,https://sh.lianjia.com/chengjiao/107101096260.html,0.35
52,31,2室2厅1厨1卫,高楼层(共20层),南,92.19,暂无数据,成交,1970-01-01,精装,有,2013,仁恒森兰雅苑(一期),,76148,702,https://sh.lianjia.com/chengjiao/107100251762.html,0.35
53,32,4室3厅1厨3卫,低楼层(共9层),南,275.86,暂无数据,成交,1970-01-01,精装,有,2013,仁恒森兰雅苑(一期),,50026,1380,https://sh.lianjia.com/chengjiao/107001401163.html,0.35
54,33,3室2厅1厨2卫,低楼层(共20层),南,151.72,暂无数据,成交,1970-01-01,精装,有,2013,仁恒森兰雅苑(一期),,74480,1130,https://sh.lianjia.com/chengjiao/107100517796.html,0.35
55,34,4室2厅1厨2卫,中楼层(共14层),南,186.54,暂无数据,成交,1970-01-01,其他,有,2013,仁恒森兰雅苑(一期),,77839,1452,https://sh.lianjia.com/chengjiao/107002208751.html,0.35
56,35,2室2厅1厨1卫,中楼层(共20层),南,91.41,暂无数据,成交,1970-01-01,其他,有,2013,仁恒森兰雅苑(一期),,86424,790,https://sh.lianjia.com/chengjiao/107000284801.html,0.35
57,36,5室2厅1厨4卫,中楼层(共9层),南,345.59,暂无数据,成交,1970-01-01,其他,有,2013,仁恒森兰雅苑(一期),,60766,2100,https://sh.lianjia.com/chengjiao/107002050369.html,0.35
